evidence_id,layer,experiment,comparison,evidence_strength,claim_supported,key_metric_1,key_metric_2,key_metric_3,xadc_status,xadc_after_temperature_c,xadc_after_vccint_v,source_file,notes
sample_ro_forward_fail_w11_restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525.summary,sample RO counterfactual,restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525,compact diagnostic top + formal-routed sample RO,strong causal evidence,Moving only the sample RO physical implementation can pull an otherwise near-ideal restart passband into a biased failing regime,overall_p1=0.464819000 abs_bias=0.035181000,worst_byte=18 bit=4 x=576,worst_p1=0.424000000 row_std=16.116830923,see metadata/log,,,data/experiments/restart_fifo_diag_20260525/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525.summary.csv,Forward counterfactual: compact topology becomes biased when sample RO is locked to formal routed locations.
sample_ro_forward_fail_w4_restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_oldbit_repeat03_no_xadc_20260525.summary,sample RO counterfactual,restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_oldbit_repeat03_no_xadc_20260525,compact diagnostic top + formal-routed sample RO,strong causal evidence,Moving only the sample RO physical implementation can pull an otherwise near-ideal restart passband into a biased failing regime,overall_p1=0.376651000 abs_bias=0.123349000,worst_byte=0 bit=5 x=884,worst_p1=0.116000000 row_std=15.575596265,see metadata/log,,,data/experiments/restart_fifo_diag_20260525/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_oldbit_repeat03_no_xadc_20260525.summary.csv,Forward counterfactual: compact topology becomes biased when sample RO is locked to formal routed locations.
sample_ro_forward_fail_w5_restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525.summary,sample RO counterfactual,restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525,compact diagnostic top + formal-routed sample RO,strong causal evidence,Moving only the sample RO physical implementation can pull an otherwise near-ideal restart passband into a biased failing regime,overall_p1=0.373430000 abs_bias=0.126570000,worst_byte=2 bit=2 x=757,worst_p1=0.243000000 row_std=15.638257576,see metadata/log,,,data/experiments/restart_fifo_diag_20260525/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525.summary.csv,Forward counterfactual: compact topology becomes biased when sample RO is locked to formal routed locations.
sample_ro_forward_fail_w5_restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525.summary,sample RO counterfactual,restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525,compact diagnostic top + formal-routed sample RO,strong causal evidence,Moving only the sample RO physical implementation can pull an otherwise near-ideal restart passband into a biased failing regime,overall_p1=0.373541000 abs_bias=0.126459000,worst_byte=1 bit=2 x=792,worst_p1=0.208000000 row_std=16.146278797,see metadata/log,,,data/experiments/restart_fifo_diag_20260525/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525.summary.csv,Forward counterfactual: compact topology becomes biased when sample RO is locked to formal routed locations.
sample_ro_reverse_repair_restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525_summary,sample RO counterfactual,restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,formal auto top + compact-routed sample RO,strong causal evidence,Moving the sample RO back to the compact-routed implementation repairs the formal warmup4 restart failure,overall_p1=0.499419000 minH=0.998324562,worst_byte=61 bit=6 x=552,worst_p1=0.552000000 row_std=16.521484165,see metadata/log,,,data/experiments/restart_fifo_diag_20260525/restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525_summary.csv,Reverse counterfactual closes the causal loop; sample RO neighborhood is part of the entropy-source boundary.
sample_ro_reverse_repair_restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run02_20260525_summary,sample RO counterfactual,restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run02_20260525,formal auto top + compact-routed sample RO,strong causal evidence,Moving the sample RO back to the compact-routed implementation repairs the formal warmup4 restart failure,overall_p1=0.499754000 minH=0.999290369,worst_byte=109 bit=4 x=552,worst_p1=0.448000000 row_std=16.111222300,see metadata/log,,,data/experiments/restart_fifo_diag_20260525/restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run02_20260525_summary.csv,Reverse counterfactual closes the causal loop; sample RO neighborhood is part of the entropy-source boundary.
reduced_xor_w10_direction_map_data_ro_bias,reduced-XOR hardware counterfactual,"sampler_island_local warmup10, data_ro[0..7] direction map",same top all64 vs same-data-RO direction functions,strong mechanism evidence,"Same-data-RO directions are real biased hardware functions, not only offline snapshot artifacts",all64_p1=0.458617 abs_bias=0.041383,data_ro0_p1=0.191877 data_ro2_p1=0.244002 data_ro3_p1=0.671833,repeat data_ro0 0.191877->0.187682 delta=-0.004195; data_ro2 0.244002->0.244767 delta=0.000765000000000016; data_ro3 0.671833->0.670937 delta=-0.000896000000000008,see reduced-XOR metadata/logs,,,data/experiments/restart_reduced_xor_w10_direction_map_20260526/summary/w10_direction_map_combined.csv,All captures used restart auto-stream with valid A55A03E8007D01D0 header and 1000x125-byte payload.
reduced_xor_w10_complement_cancellation,reduced-XOR hardware counterfactual,"sampler_island_local warmup10, except_data_ro complement map",all64 vs all64 XOR data_ro[j],strong mechanism evidence,Final all64 quality is governed by sampler-vector XOR cancellation rather than one bad data_ro group,except_ro0_p1=0.50102 abs_bias=0.00102,except_ro2_p1=0.499674 abs_bias=0.000326; except_ro6_p1=0.501833 abs_bias=0.001833,repeat except_ro0 0.50102->0.499872 delta=-0.00114800000000004; except_ro2 0.499674->0.500863 delta=0.00118899999999994; except_ro6 0.501833->0.501224 delta=-0.000608999999999971,see reduced-XOR metadata/logs,,,data/experiments/restart_reduced_xor_w10_direction_repeat02_minimal_20260526/summary/w10_direction_repeat_compare_wide.csv,"Near-ideal complements coexist with strongly biased same-data-RO functions, supporting a sampler-side XOR-combination boundary."
tdc_clean32k_random1_baseline_warmup0,reset-aligned TDC,random1_baseline_warmup0,"random1 baseline / random3 good reference / random1 sampler-local, warmup0 vs warmup12",negative/control evidence,Rules out simple pairwise RO hard locking as the dominant explanation,Hdiff=6.75886 early=6.53655,transition_Hdiff=13.1434 same_ratio=0.00994903,longest_run=3 autocorr=-0.0082803,after_only_ok,47.0,1.000,data/experiments/tdc_reset_aligned_clean32k_all_20260525/tdc_reset_aligned_clean32k_all_20260525.summary.csv,"TDCR header present; raw-bin relative comparison only, not calibrated ps-level jitter."
tdc_clean32k_random1_baseline_warmup12,reset-aligned TDC,random1_baseline_warmup12,"random1 baseline / random3 good reference / random1 sampler-local, warmup0 vs warmup12",negative/control evidence,Rules out simple pairwise RO hard locking as the dominant explanation,Hdiff=6.66619 early=6.44347,transition_Hdiff=12.9741 same_ratio=0.0116581,longest_run=3 autocorr=3.71515e-06,after_only_ok,47.1,1.000,data/experiments/tdc_reset_aligned_clean32k_all_20260525/tdc_reset_aligned_clean32k_all_20260525.summary.csv,"TDCR header present; raw-bin relative comparison only, not calibrated ps-level jitter."
